,Blocking_patent,Blocking_action,Blocked_app
245,5732387,103a,12044713
246,5732387,103a,12044713
247,5732387,103a,12044713
248,6662010,103a,13042824
249,6662010,103a,13042824
250,6757337,103a,12043348
251,6757337,103a,12043348
252,7373013,112,11863393
253,6944455,103,11750045
254,6944455,103a,11750045
255,6756938,102b,12034012
256,6756938,103a,12034012
257,6756938,103a,12034012
258,6756938,103a,12034012
259,6756938,103a,12034012
260,6756938,103a,12034012
261,6671852,103a,12852368
262,6671852,103a,12852397
263,6822611,102b,12738764
264,5958006,103a,09782412
265,5958006,103a,09782412
266,5958006,103a,09782412
267,5958006,103a,09782107
268,5958006,103a,09782107
269,5958006,103a,09782107
270,5958006,102e,11925770
271,5958006,103a,13043903
272,5958006,103a,13043903
273,5958006,103a,13043903
274,5958006,102b,13020322
275,5958006,103a,09782412
276,5958006,103a,09782412
277,5958006,103a,09782412
278,5958006,103a,09782412
279,5958006,103a,09782412
280,5958006,103a,09782412
281,5958006,103a,13043903
282,5958006,103a,13043903
283,5958006,103a,13043903
284,5958006,103a,13043903
285,5958006,103a,13359586
286,5958006,103a,13359586
287,5958006,103a,13359586
288,5958006,103a,13359586
289,5958006,102b,13346759
290,5958006,103a,13359586
291,5958006,103a,13359586
292,5958006,103a,13359586
293,5958006,103a,13359586
294,5958006,102b,13346759
295,5958006,103a,13359586
296,5958006,103a,13359586
297,5958006,103a,13359586
298,5958006,103a,13359586
299,5958006,103a,09782412
300,5958006,103a,09782412
301,5958006,103a,09782412
302,5958006,103a,09782107
303,5958006,103a,09782107
304,5958006,103a,09782107
305,5958006,102e,11925770
306,5958006,103a,13043903
307,5958006,103a,13043903
308,5958006,103a,13043903
309,5958006,102b,13020322
310,5958006,103a,09782412
311,5958006,103a,09782412
312,5958006,103a,09782412
313,5958006,103a,09782412
314,5958006,103a,09782412
315,5958006,103a,09782412
316,5958006,103a,13043903
317,5958006,103a,13043903
318,5958006,103a,13043903
319,5958006,103a,13043903
320,5958006,103a,13359586
321,5958006,103a,13359586
322,5958006,103a,13359586
323,5958006,103a,13359586
324,5958006,102b,13346759
325,5958006,103a,13359586
326,5958006,103a,13359586
327,5958006,103a,13359586
328,5958006,103a,13359586
329,5958006,102b,13346759
330,5958006,103a,13359586
331,5958006,103a,13359586
332,5958006,103a,13359586
333,5958006,103a,13359586
334,6617075,103a,11338709
335,7138979,103a,11825993
336,7138979,103a,11825993
337,7138979,103a,11825993
338,6564047,103a,12163631
339,6564047,103a,11686342
340,7013143,103a,11118063
341,7013143,103a,11118063
342,7013143,103a,11118063
343,7013143,103a,11118063
344,7013143,103a,10941266
345,7013143,103,11176579
346,7013143,103a,11176579
347,7013143,103a,10941266
348,7013143,103a,13527279
349,5987021,103a,11870181
350,6532593,103a,11250086
351,6532593,103,11898996
352,6532593,103a,11250086
353,6532593,103a,11060224
354,6532593,119a,12951536
355,6532593,103a,12850121
356,8018893,102e,12951149
357,8018893,103a,12951149
358,8018893,102,13003618
359,8018893,103a,12739713
360,8018893,103a,12429340
361,6138042,103,12183156
362,6138042,103a,12183156
363,6138042,103a,12183156
364,7778653,102e,13162318
365,6219840,103a,10881979
366,6484033,103a,11930362
367,6484033,103a,12142207
368,6484033,103a,12142207
369,7209717,103a,12477862
370,7209717,103a,12477862
371,7944484,103a,12381422
372,7944484,103a,12322822
373,6882709,103a,11853591
374,6882709,103a,10974497
375,6882709,103a,11698372
376,6882709,103a,11698372
377,6882709,103a,11698372
378,6882709,103a,11698372
379,6882709,103a,11698372
380,6882709,103a,11586482
381,6882709,103a,11586482
382,6882709,103a,11780760
