,Blocking_patent,Blocking_action,Blocked_app
1066,6549789,103a,11650484
1067,6549789,102e,12704444
1068,6549789,103a,11945684
1069,6549789,103a,11945684
1070,6549789,103a,11945684
1071,6389269,102b,12623248
1072,5631101,103a,11166776
1073,5631101,103a,11166776
1074,5631101,103a,11166776
1075,5631101,103a,11166776
1076,6937873,102e,12097521
1077,6608861,102b,11736030
1078,6608861,103a,11736030
1079,7062246,103a,10954019
1080,6084968,103a,11578787
1081,6044276,103a,11375052
1082,6044276,103a,11375052
1083,6342774,103a,12744642
1084,6342774,103a,12744642
1085,6161207,103a,12494957
1086,6327307,103a,13126040
1087,5966651,103a,11233069
1088,7158482,103a,10816385
1089,6310898,103a,11729927
1090,6310898,103a,11729927
1091,6310898,103a,11729927
1092,6310898,103a,11729927
1093,6310898,103a,11729927
1094,6310898,103a,11729927
1095,7096025,103a,11199081
1096,7096025,103a,11199081
1097,6094565,102b,12055853
1098,6094565,102e,12471217
1099,6094565,103a,12055853
1100,5893132,103a,09344492
1101,5893132,103a,11549720
1102,7375730,103a,12717345
1103,5949948,103a,11831916
1104,5949948,103a,11831916
1105,5949948,103a,12957148
1106,6144186,103a,12195618
1107,6144186,103a,12195618
1108,6144186,103a,12195618
1109,6144186,103a,12195618
1110,6144186,103a,12195618
1111,6144186,102b,12195618
1112,6144186,103a,12195618
1113,6144186,103a,12195618
1114,6144186,103a,12195618
1115,6144186,103a,12195618
1116,6144186,103a,12195618
1117,6144186,103a,12195618
1118,6144186,103a,12195618
1119,6144186,103a,12195618
1120,6859494,103a,11638838
1121,6859494,103a,11638838
1122,6912507,103a,12187775
1123,6912507,103a,12187775
1124,6912507,112,13250791
1125,6212550,102b,12399004
1126,6212550,102e,12077822
1127,6212550,103,13445884
1128,6212550,103a,13445884
1129,6668173,103a,10265980
1130,6668173,103a,11466781
1131,6668173,103a,13216511
1132,6668173,103a,11000667
1133,6668173,119,13216511
1134,6668173,103a,13216511
1135,6668173,103a,11000667
1136,8145127,103a,12819355
1137,6954649,103a,11449274
1138,6954649,103a,11449274
1139,5926104,103a,13108925
1140,6104726,102e,11932726
1141,6104726,103a,11932726
1142,6862433,103a,12392456
1143,6862433,103a,12392456
1144,6862433,103a,12392456
1145,6862433,103a,10600209
1146,6862433,103a,12132549
1147,6862433,103a,12592469
1148,6720864,103a,12089690
1149,6720864,103a,12089690
1150,6720864,103a,12089690
1151,6720864,103a,12089690
1152,6720864,103a,12089690
1153,6720864,103a,12089690
1154,6720864,103a,12089690
1155,6259741,103a,13018709
1156,6259741,103a,13019090
1157,6963730,103a,11784883
1158,6963730,103a,11784883
1159,6449465,103a,12400764
1160,6449465,103a,11670931
1161,6449465,102b,13461697
1162,7184745,102b,12498632
1163,7184745,103a,12498632
1164,7184745,103a,12498632
1165,7184745,103a,12498632
1166,7184745,102b,12498632
1167,7184745,103a,12498632
1168,7184745,103a,12498632
1169,7184745,103a,12498632
1170,7184745,103a,12498632
1171,7184745,103a,12498632
1172,6847311,102b,12391571
1173,6847311,103a,12391571
1174,6847311,102b,12391571
1175,6847311,103a,12391571
1176,6889212,103a,12335046
1177,6889212,103a,12335046
1178,6055333,103a,10183991
1179,6055333,103a,10183991
1180,6640087,103a,13118051
1181,6640087,119,11295896
1182,6640087,119a,11295896
1183,6640087,102b,12367293
1184,6640087,103a,13138516
1185,6640087,103a,13138516
1186,6640087,103a,13138516
1187,6640087,103a,13138516
1188,6640087,103a,13138516
1189,6640087,103a,13138516
1190,7653398,103a,13037079
1191,6556814,102b,12887467
1192,6556814,103a,12887467
1193,6556814,102b,12887467
1194,6556814,103a,12887467
1195,6947760,103a,11048766
1196,6289129,103,13190110
1197,8036237,103,12731984
1198,6192256,102b,12130396
1199,6192256,103a,11985325
1200,6192256,103a,11985325
1201,6931059,103,12949957
1202,6931059,103a,12949957
1203,7082290,103a,13152170
1204,7082290,103a,13152170
1205,7082290,103a,13152170
1206,7082290,103a,13152170
1207,7082290,103a,13152170
1208,7082290,102e,13152170
1209,7082290,103a,13152170
1210,7082290,103a,13152170
1211,7082290,103a,13152170
1212,7082290,103a,13152170
1213,5815407,103a,12855256
1214,5815407,103a,12855256
1215,5815407,103a,12855256
1216,5815407,103a,12855256
1217,5815407,103a,12855256
1218,5815407,103a,12855256
1219,5815407,103a,12855256
1220,5815407,103a,12855256
1221,5815407,103a,12855256
1222,5815407,103a,12855256
1223,6112074,103a,11974023
1224,7477699,102b,12164718
1225,7477699,102b,12164718
1226,7643817,103a,12034989
1227,7269561,103a,12810384
1228,7269561,103a,12810384
1229,6246327,103a,10586738
1230,6961384,103,12187352
1231,6961384,103a,11817686
1232,6223154,103a,11092372
1233,6223154,103a,11092372
1234,6493671,103a,12393641
1235,6493671,103a,12393641
1236,6792534,103a,11119408
1237,5929702,102b,12671656
1238,5929702,103a,12671656
1239,6797427,102b,11965035
1240,6797427,103a,11965035
1241,6797427,103a,11965035
1242,6797427,103a,11965035
1243,6797427,103a,11965035
1244,6797427,103a,11965035
1245,6797427,103a,11965035
1246,6797427,103a,11965035
1247,6797427,103a,11965035
1248,6797427,103a,11965035
1249,6797427,103a,11965035
1250,6797427,102b,11965035
1251,6797427,102b,11965035
1252,6797427,103a,11965035
1253,5736933,103a,12956834
1254,7733919,119,12583369
1255,6741873,103a,11378364
1256,6741873,103a,11378364
1257,6384727,103a,10586738
1258,6384727,103a,10586738
1259,6505058,102b,12052500
1260,6505058,102b,12052500
1261,7312729,103a,12194605
1262,6226403,102b,12194780
1263,6498358,103a,13038421
1264,6766147,102b,11470738
1265,6766147,103a,11470738
1266,6766147,103a,11470738
1267,6766147,103a,11470738
1268,6766147,103a,11470738
1269,6766147,103a,11470738
1270,6766147,103a,11470738
1271,6766147,103a,11470738
1272,6766147,103a,11470738
1273,6766147,103a,11470738
1274,6766147,103a,11470738
1275,6766147,103a,11470738
1276,6188767,102,10683761
1277,7117019,103a,12197789
1278,7117019,103a,12197789
1279,7117019,103a,12197789
1280,6249678,103a,12533651
1281,6249678,103a,12533651
1282,6151397,103a,12905794
1283,6888811,102e,12904085
1284,6888811,103a,13225848
1285,6122335,103a,12393737
1286,7206847,103a,12162468
1287,5942938,103a,13017042
1288,5867478,103a,10477250
1289,5867478,102b,11957617
1290,5867478,103a,11957617
1291,5867478,103a,11957617
1292,5867478,103a,11957617
1293,5867478,103a,12000291
1294,5867478,103a,11242115
1295,5867478,103a,12052842
1296,5867478,103a,12052842
1297,5867478,103a,12052842
1298,5867478,103a,12052842
1299,5867478,103a,11957617
1300,5867478,103a,11957617
1301,5867478,103a,11957617
1302,5867478,103a,12629571
1303,5867478,102,12189437
1304,5867478,103c,12189437
1305,5867478,103a,12189437
1306,5867478,103a,12629571
1307,5867478,102,12189437
1308,5867478,103c,12189437
1309,5867478,103a,12189437
1310,5867478,103a,13445263
1311,5867478,103a,12712093
1312,5867478,103a,10477250
1313,5867478,112,12601840
1314,5867478,103a,12712093
1315,5867478,103a,12629571
1316,6529804,103a,11770671
1317,6529804,103a,11770671
1318,6134237,103a,12161573
1319,6134237,103a,12161573
1320,6134237,103a,12161573
1321,6134237,103a,12161573
1322,6134237,103a,12161573
1323,6134237,103a,12161573
1324,6134237,103a,12161573
1325,6134237,103a,12161573
1326,6134237,103a,11516885
1327,6134237,103a,12161573
1328,6134237,103a,12161573
1329,6134237,103a,12161573
1330,6134237,103a,12161573
1331,6134237,103a,12161573
1332,6134237,103a,12161573
1333,6134237,103a,12161573
1334,6134237,103a,12161573
1335,6134237,103a,11231886
1336,6134237,103a,11231886
1337,6134237,103a,11231886
1338,6134237,103a,11231886
1339,6134237,103a,11231886
1340,7499950,103a,11876709
1341,7499950,103a,11876709
1342,6700867,103a,11670639
1343,6700867,103a,12840131
1344,6700867,103a,12840131
1345,7386128,103a,11275183
1346,7522675,103a,10978931
1347,7065068,103a,11238791
1348,5825762,103a,11556855
1349,7912009,103a,12935852
1350,6836514,103a,11929512
1351,6836514,103a,11447116
1352,6173330,102e,12815022
1353,6173330,103a,11486267
1354,7363044,103a,11851685
1355,6014376,103a,12433532
1356,6014376,102b,13257110
1357,6792281,103a,11860051
1358,6792281,102b,11860051
1359,6373884,103a,12032011
1360,6373884,103a,12032011
1361,7634251,103a,12362203
1362,7634251,103a,12362203
1363,7634251,103a,12362203
1364,7634251,103a,12362203
1365,7634251,103a,12362203
1366,7634251,103a,12362203
1367,7634251,103a,12362203
1368,7886355,103a,12482471
1369,5741609,103,12708807
1370,5741609,103a,12708807
1371,5741609,103a,12708807
1372,6175740,102,11823181
1373,6175740,119a,12165224
1374,6175740,103a,12165224
1375,6175740,102b,11823181
1376,6175740,103a,12165224
1377,6754908,103a,11275183
1378,6754908,103a,12850121
1379,7388923,102b,12412797
1380,6347882,103a,12476067
1381,6347882,103a,12476067
1382,6192247,103a,11569237
1383,7187759,103a,11771968
1384,6904611,103a,12396452
1385,6169538,103a,10602540
1386,6169538,103a,11771096
1387,6169538,103a,11771096
1388,6169538,103a,11771096
1389,6169538,103a,11771096
1390,6169538,103a,11925619
1391,6169538,103a,11635689
1392,6169538,103a,11771096
1393,6169538,103a,11771096
1394,6169538,103a,11771096
1395,6169538,103a,11771096
1396,6169538,103a,11635689
1397,6169538,103a,12059215
1398,6169538,103a,11682148
1399,6169538,103a,12059215
1400,6169538,103a,12059215
1401,6169538,103a,11925619
1402,6169538,103a,11520650
1403,6169538,103a,11635689
1404,6169538,103a,11520650
1405,6169538,103a,11654363
1406,6169538,103a,11682148
1407,6169538,103a,12221537
1408,6169538,103a,12059215
1409,6169538,103a,12059215
1410,6169538,102,12727217
1411,6169538,103a,12722422
1412,6169538,103a,12685623
1413,6169538,103a,13037124
1414,6233559,103a,11097641
1415,6233559,102b,12101163
1416,6233559,103a,12101163
1417,6233559,103a,12086402
1418,6483874,103a,11380796
1419,6483874,103a,11380796
1420,6483874,103a,13224588
1421,6483874,103a,13224588
1422,7738907,103a,12053866
1423,7738907,103a,12740365
1424,6265977,102,11923244
1425,6265977,103a,11923244
1426,6265977,103a,11923244
1427,6265977,103,12160721
1428,6265977,103a,11759484
1429,6265977,103a,11187392
1430,8244250,103a,13548370
1431,7689448,102e,12392231
1432,7689448,103a,12392231
1433,7689448,103a,12392231
1434,7305555,119,11658480
1435,7305555,103a,11658480
1436,6889385,103a,12433922
1437,6889385,102e,12834406
1438,6889385,103a,11281156
1439,6889385,103a,11925386
1440,6889385,103a,11281156
1441,6889385,103a,11281156
1442,7929701,103a,12139711
1443,6282182,103a,11855919
1444,5796777,103a,12101391
1445,7653422,103a,12065279
1446,7653422,103a,12065279
1447,7653422,103a,12065279
1448,7653422,103a,12065279
1449,6952573,103a,12092140
1450,6952573,103,12222542
1451,6871074,103a,10748088
1452,6347228,103a,13044233
1453,8194648,102,13143140
1454,8194648,103a,13143140
1455,8194648,103a,13143140
1456,8194648,103a,13143140
1457,8194648,103a,13143140
1458,8194648,103a,13143140
1459,6799062,102,12032589
1460,6799062,103,12032589
1461,6799062,103a,12032589
1462,5909183,103a,11625749
1463,5909183,103a,12098591
1464,5909183,119,12098591
1465,5909183,103a,11960378
1466,5909183,103a,11993568
1467,5909183,103,11993568
1468,5909183,103,11993568
1469,5909183,103a,11993568
1470,5909183,103a,11943060
1471,5909183,103a,11993568
1472,8199845,103a,13045021
1473,8199845,103a,13045021
1474,6944427,103a,12164142
1475,5835730,103,13578725
1476,6141541,103a,13018394
1477,5936516,103a,12328860
1478,7453219,102e,12391277
1479,7453219,103a,12391277
1480,7453219,103a,12391277
1481,7451476,103a,11887287
1482,7451476,103a,11887287
1483,7451476,103a,11887287
1484,7451476,103a,11887287
1485,7451476,103a,11887287
1486,6434197,103a,11547038
1487,6434197,103a,11547038
1488,6434197,103,11448447
1489,6434197,103a,11130773
1490,6434197,103a,11547038
1491,6434197,103a,11547038
1492,6434197,103a,12390546
1493,7620403,102b,12471046
1494,7620403,103a,12471046
1495,7620403,103a,12471046
1496,7620403,103a,12471046
1497,7620403,102b,12471046
1498,7620403,103a,12471046
1499,7620403,103a,12471046
1500,7620403,103a,12471046
1501,7620403,103a,12471046
1502,7620403,103a,12471046
1503,7620403,103a,12471046
1504,7620403,103a,12471046
1505,7620403,103a,12471046
1506,6710578,103a,12070793
1507,6710578,103a,12302559
1508,6710578,103a,12302559
1509,6710578,103a,12070793
1510,6710578,103a,11752483
1511,6710578,103a,12075212
1512,6710578,103a,11752483
1513,6710578,103a,12075212
1514,6710578,103a,12125632
1515,6710578,119,11752483
1516,6710578,103a,12302559
1517,6710578,103a,12302559
1518,6130613,103a,12188084
1519,6130613,103a,12188084
1520,6130613,103a,12188084
1521,7084815,103,13533746
1522,6853445,103a,11426087
1523,6125137,103a,11555656
1524,5754484,103a,12694962
1525,6665521,103a,11557426
1526,6665521,103a,11557426
1527,6665521,103a,11832103
1528,6665521,103a,11557426
1529,6665521,103a,12265897
1530,6647061,103a,10975244
1531,6647061,103a,10975244
1532,6647061,102b,11226590
1533,6647061,103a,11693694
1534,6647061,103a,10975244
1535,6647061,103a,10975244
1536,6647061,103a,11226590
1537,6647061,102e,12087464
1538,6647061,102b,11789795
1539,7330174,103a,12337515
1540,7330174,103a,12337515
1541,7330174,103a,12337515
1542,7330174,103a,12337515
1543,6880170,103a,12576502
1544,8412209,103a,12740365
1545,6387559,102b,12809826
1546,6387559,103a,12809826
1547,6387559,103a,12809826
1548,6387559,102b,12809826
1549,6387559,103a,12809826
1550,6387559,103a,12809826
1551,6387559,102b,12809826
1552,6387559,103a,12809826
1553,6242979,103a,11262079
1554,7945255,103a,13146927
1555,6161018,103a,12027524
1556,6161018,103a,12027524
1557,5764899,103a,09783726
1558,5764899,103a,09783726
1559,5764899,119a,09783726
1560,5764899,103a,09783726
1561,5764899,103a,09783726
1562,5764899,119a,12039842
1563,5764899,103a,09783726
1564,5764899,103a,09783726
1565,5764899,103a,13571277
1566,5764899,103a,09783726
1567,5764899,103a,09783726
1568,5764899,103a,09783726
1569,5764899,103a,09783726
1570,5764899,103a,09783726
1571,5764899,103a,09783726
1572,5764899,119a,09783726
1573,5764899,103a,09783726
1574,5764899,103a,09783726
1575,5764899,119a,12039842
1576,5764899,103a,09783726
1577,5764899,103a,09783726
1578,5764899,103a,13571277
1579,5764899,103a,09783726
1580,5764899,103a,09783726
1581,5764899,103a,09783726
1582,5764899,103a,09783726
1583,5764899,103a,09783726
1584,5764899,103a,09783726
1585,5764899,119a,09783726
1586,5764899,103a,09783726
1587,5764899,103a,09783726
1588,5764899,119a,12039842
1589,5764899,103a,09783726
1590,5764899,103a,09783726
1591,5764899,103a,13571277
1592,5764899,103a,09783726
1593,5764899,103a,09783726
1594,5764899,103a,09783726
1595,5764899,103a,09783726
1596,7940740,102,12365703
1597,7940740,103a,13153293
1598,7940740,103a,12829534
1599,7940740,102e,13331987
1600,7940740,119,13040109
1601,7940740,103a,12712642
1602,7940740,102e,12815865
1603,7940740,103a,12815865
1604,7940740,103a,12829534
1605,7940740,103a,13255236
1606,7940740,103a,13085373
1607,6195342,102e,12302184
1608,6195342,102b,12071528
1609,7277453,103a,10593987
1610,7277453,103a,10593987
1611,7277453,103a,10593987
1612,7277453,103a,10593987
1613,7277453,103a,10593987
1614,7277453,103a,12353697
1615,7277453,103a,10593987
1616,7277453,103a,10593987
1617,7277453,103a,10593987
1618,7277453,103a,10593987
1619,7277453,103a,10593987
1620,7277453,103a,10593987
1621,7277453,103a,10593987
1622,7277453,103a,10593987
1623,7277453,103a,10593987
1624,7277453,103a,10593987
1625,6465119,102,12129626
1626,6465119,103a,12983969
1627,6465119,103,12983969
1628,6465119,103a,12983969
1629,6465119,103a,12530717
1630,6465119,103a,12530717
1631,6465119,103a,12530717
1632,6429811,102e,13237550
1633,6694149,102b,12393159
1634,6694149,103a,12393159
1635,6907019,103a,11432897
1636,6907019,103a,11432897
1637,7173606,103a,11856435
1638,7173606,103a,11856435
1639,6211819,103a,11833962
1640,6211819,103a,11833962
1641,6212382,103a,11848711
1642,6212382,103a,12908639
1643,6128763,102b,13156098
1644,7079872,103a,12482543
1645,5627931,102b,12805952
1646,5627931,102b,12805952
1647,7680118,102b,12701992
1648,7680118,103a,12948567
1649,7680118,103a,12948567
1650,6660427,102b,13031716
1651,6660427,102b,13031716
1652,6741554,103a,12545181
1653,6741554,102b,12545181
1654,6016312,103,12183275
1655,5838740,103a,12036855
1656,5838740,103a,12933416
1657,5838740,102b,13346628
1658,5838740,103a,12702895
1659,5838740,102b,13346628
1660,6600928,103a,11530675
1661,6600928,103a,10993472
1662,6600928,103a,10993472
1663,7117009,103a,12400240
1664,7117009,103a,12400240
1665,7117009,103a,13452235
1666,7117009,103a,13452235
1667,7117009,103,11742054
1668,7117009,103a,11742054
1669,6453160,103a,11635804
1670,6453160,103a,11635804
1671,5699365,103,12097576
1672,5699365,102b,12029282
1673,5699365,103,12097576
1674,5729219,103a,11869985
1675,5729219,103a,11869985
1676,5729219,103a,11620424
1677,5729219,102b,12503314
1678,5729219,103a,12729689
1679,5729219,103a,12729689
1680,5729219,103a,12503314
1681,6415252,103a,11830548
1682,7787870,103a,12849495
1683,7453831,103a,11718006
1684,7453831,103a,11718006
1685,6724170,103a,10790627
1686,6724170,103a,10790627
1687,6724170,103a,10790627
1688,6724170,103a,10790627
1689,6724170,103a,10790627
1690,7010657,103a,11649258
1691,7010657,103a,11649258
1692,7010657,103a,11649258
1693,7010657,103a,11649258
1694,7099684,103a,13007068
1695,7099684,103a,13007068
1696,7099684,103a,13007068
1697,7099684,103a,13007068
1698,7099684,103a,13007068
1699,7099684,103a,13007068
1700,7340221,103a,12906052
1701,7499689,103a,12461661
1702,6570861,103a,12047590
1703,6570861,103a,12047590
1704,6570861,103a,11444657
1705,6185433,103a,09734852
1706,6185433,103a,09734852
1707,6185433,103a,09734852
1708,6185433,103a,09734852
1709,6185433,103a,09734852
1710,6185433,103a,09734852
1711,6185433,103a,09734852
1712,6185433,103a,09734852
1713,6469997,103a,11359503
1714,6469997,103a,11359503
1715,6430228,103a,11590398
1716,6430228,103a,11590398
1717,6430228,103a,11590398
1718,6430228,103a,11590398
1719,6430228,103a,11590398
1720,6430228,103a,11590398
1721,6430228,103a,11590398
1722,6430228,103a,11590398
1723,6430228,103a,11590398
1724,6430228,103a,11590398
1725,6430228,103a,11590398
1726,6744740,103,10795251
1727,6744740,112,12415523
1728,6744740,103a,11936774
1729,6744740,103a,11750028
1730,6744740,103a,12101333
1731,6744740,103a,12101333
1732,6744740,103a,12101333
1733,6744740,103a,12101333
1734,6744740,103a,11750028
1735,6744740,103a,11470812
1736,6744740,103a,12101333
1737,6744740,103a,12101333
1738,6744740,103a,12101333
1739,6744740,103a,11470812
1740,6744740,103a,11470812
1741,7310423,103a,12307391
1742,7492753,103a,13356547
1743,7492753,103a,13356547
1744,6909761,103a,11926327
1745,6909761,102b,12901003
1746,7213062,103a,11499182
1747,7213062,102,13255328
1748,6526581,103a,10676429
1749,6526581,103a,10676429
1750,6526581,102e,12168425
1751,6526581,103a,12168425
1752,6526581,103a,12168425
1753,6526581,103a,12168425
1754,6526581,103a,12168425
1755,6526581,103a,12168425
1756,6526581,103a,12168425
1757,6526581,103a,12168425
1758,6526581,103a,12168425
1759,6526581,103a,12168425
1760,6526581,103a,11969870
1761,6526581,103a,11969870
1762,6526581,103a,11969870
1763,6526581,103a,11969870
1764,6526581,103a,11969870
1765,6526581,103a,11969870
1766,6526581,103a,11969870
1767,6526581,103a,10676429
1768,6526581,103a,10676429
1769,6526581,103a,11636998
1770,6526581,103a,13015695
1771,6526581,103a,13015695
1772,6526581,103a,10676429
1773,6526581,103a,10676429
1774,6671525,103a,11621957
1775,6671525,103a,11621957
1776,6671525,103a,12683522
1777,6728531,103a,12484300
1778,6728531,103a,11624552
1779,6728531,103a,11624552
1780,6728531,103a,09988241
1781,7016475,132a,11631611
1782,5665265,103a,12180509
1783,5665265,103a,12180509
1784,7729433,102e,12630627
1785,6807563,101,11378163
1786,6807563,102,11854301
1787,6807563,103a,11854301
1788,5637418,103a,13050378
1789,6643541,103a,12085657
1790,6643541,103a,12935000
1791,6519239,103a,12025683
1792,6519239,103a,12025683
1793,6519239,102b,12130069
1794,6519239,102b,12130069
1795,6519239,103a,12025683
1796,6519239,103a,12025683
1797,6091969,103a,12904900
1798,6762723,103a,12325366
1799,5974085,103a,12953604
1800,6072790,103a,11255270
1801,6072790,103,11255270
1802,6996172,101,11777918
1803,7509259,103a,11460075
1804,6438360,103a,11876037
1805,6438360,103a,11876037
1806,6731940,103a,12574242
1807,6731940,103a,12574242
1808,7817718,103a,11520709
1809,7817718,103a,11520709
1810,7817718,103a,11520709
1811,7817718,103a,11520709
1812,7817718,103a,11520709
1813,7817718,103a,11520709
1814,7817718,103a,11520709
1815,7817718,103a,11520709
1816,7817718,112,12907656
1817,5963876,103a,11833733
1818,7234119,103a,12356551
1819,6807317,103a,12735329
1820,6807317,103a,12735329
1821,6807317,103a,12735329
1822,6807317,103a,12735329
1823,6807317,103a,12735329
1824,6807317,103a,12735329
1825,6807317,103a,12735329
1826,6807317,103a,12735329
1827,6807317,103a,12735329
1828,6807317,103a,12735329
1829,6807317,103a,12735329
1830,6807317,103a,12735329
1831,6807317,103a,12735329
1832,6807317,103a,12735329
1833,6807317,103a,12735329
1834,6807317,103a,12735329
1835,6052064,103,12741744
1836,6665283,103a,10321308
1837,6665283,103a,10321308
1838,6665283,103a,10321308
1839,6665283,103a,10321308
1840,5999138,103a,11749596
1841,7106358,103a,12907244
1842,7106358,103a,12907244
1843,7047005,103a,12156544
1844,6529746,103a,11832590
1845,6529746,103a,11832590
1846,6529746,103a,11832858
1847,6529746,103a,11832590
1848,7769087,119,12951732
1849,7769087,119a,12951732
1850,7505764,103a,11578206
1851,6725021,103a,12726817
1852,7504936,103a,11834058
1853,7504936,103a,11834058
1854,7398453,103a,12043348
1855,7957772,103,12705736
1856,7026789,103a,12478097
1857,7026789,103a,11971835
1858,8270359,103a,13100801
1859,8270359,103a,13100801
1860,8270359,103a,12825179
1861,6704046,103a,12469524
1862,6704046,103a,12469524
1863,6704046,103a,12469524
1864,6766353,103a,12054664
1865,6766353,103,12394724
1866,6766353,103a,12394724
1867,6766353,119,11651801
1868,6766353,103a,11651801
1869,6766353,103a,11651801
1870,6766353,103a,11651801
1871,6766353,103a,13413173
1872,6766353,103a,13413173
1873,6766353,103a,11592309
1874,6766353,103a,12397757
1875,6766353,103a,13413173
1876,6766353,103a,13413173
1877,6766353,103a,13413173
1878,6330459,103a,12443423
1879,6330459,103a,12443423
1880,6041241,103a,10829786
1881,6041241,103a,12841863
1882,6396726,102b,12069584
1883,6396726,103a,12718122
1884,8060012,103,13263705
1885,6034971,103a,11796166
1886,6034971,103a,11796166
1887,6034971,103a,13563572
1888,7085542,103a,13318803
1889,7085542,103a,13318803
1890,7085542,103a,13318803
1891,6160449,103a,11959923
1892,6160449,103a,11914747
1893,7640571,103a,12197505
1894,7640571,103a,12197505
1895,7640571,103a,12197505
1896,7640571,103a,12197505
1897,7640571,103a,12197505
1898,8224303,103a,12684227
1899,8224303,103a,12684227
1900,8224303,119a,12684227
1901,8224303,103a,12684227
1902,8224303,103a,12684227
1903,8224303,103a,12684227
1904,8224303,103a,12684227
1905,7242784,103a,11843061
1906,6104808,103a,11828804
1907,6104808,103a,11828804
1908,6104808,103a,11828804
1909,6228516,103,12715630
1910,6228516,103a,12131892
1911,7747017,103a,12592445
1912,7747017,103a,12592445
1913,7747017,103a,12592445
1914,6725022,103a,11193828
1915,6725022,103a,12484300
1916,6725022,103a,11193828
1917,6725022,103a,12033616
1918,6725022,103a,12061803
1919,6725022,102b,12353051
1920,6725022,103a,12353051
1921,6725022,103a,12353051
1922,6725022,103a,12353051
1923,6725022,103a,12484300
1924,7047050,103a,11955338
1925,7047050,102b,12717891
1926,7047050,102b,13331050
1927,6100664,103a,11939664
1928,6944245,103a,12065588
1929,6944245,103a,12065588
1930,5940076,102e,12704039
1931,5940076,119a,11435795
1932,5940076,103a,11435795
1933,5940076,103a,11435795
1934,5940076,103,12694785
1935,6212393,102,13247431
1936,6212393,103a,13247431
1937,7356348,103,11873453
1938,7356348,103a,11873453
1939,7356348,103a,11873453
1940,7356348,103a,11873453
1941,7356348,103a,11873453
1942,6707826,103a,12819973
1943,6707826,103a,12819973
1944,7292879,102b,12732681
1945,7292879,103a,12732681
1946,7292879,103a,12732681
1947,7292879,103a,12732681
1948,7292879,103a,12732681
1949,7292879,103a,12732681
1950,7292879,103a,12732681
1951,7292879,103a,12732681
1952,7292879,103a,12732681
1953,7292879,103a,12732681
1954,7292879,103,12732681
1955,6393076,103a,11863657
1956,6393076,103a,11863657
1957,6393076,103a,11863657
1958,6393076,103a,11863657
1959,6393076,103a,11863657
1960,6393076,103a,12705460
1961,6393076,103a,12705460
1962,6393076,103a,12705460
1963,6393076,103a,12705460
1964,6393076,103a,12705460
1965,6393076,103a,12705460
1966,6393076,103a,12705460
1967,6393076,103a,12705460
1968,6393076,103a,12705460
1969,6393076,103a,12705460
1970,6393076,103a,12705460
1971,6393076,103a,12705460
1972,6393076,103a,12705460
1973,6393076,103a,12705460
1974,6553021,103a,12717419
1975,6553021,103a,12717419
1976,6553021,103a,12717419
1977,6256393,103a,12303120
1978,6256393,103a,12303120
1979,6256393,103a,11584208
1980,6256393,103a,11584208
1981,6256393,103a,11584208
1982,6256393,103a,11584208
1983,7385913,103a,12402482
1984,7385913,103a,12402482
1985,7385913,103a,12402482
1986,7385913,103a,12402482
1987,7385913,103a,12402482
1988,7385913,103a,12402482
1989,7385913,103a,12402482
1990,7385913,103a,12402482
1991,7385913,103a,12402482
1992,7385913,103a,12402482
1993,7385913,103a,12402482
1994,6084468,103a,12919525
1995,7165112,103a,12898114
1996,7321570,103a,12065272
1997,7321570,103a,12065272
1998,7539186,103a,12027429
1999,7539186,103a,12027429
2000,7539186,103a,12027429
2001,7539186,103a,12027429
2002,7539186,103a,12027429
2003,7787357,103a,10584335
2004,7873338,103a,12027996
2005,7873338,103a,12680547
2006,7873338,103a,12027996
2007,7873338,103,12680547
2008,7200112,119a,12906953
2009,7200112,103a,10374810
2010,7200112,103a,10374810
2011,7200112,103a,10374810
2012,7200112,103a,10374810
2013,7200112,103a,10374810
2014,7073192,103a,11366674
2015,7073192,103a,11366674
2016,7073192,102e,13036677
2017,6381477,102b,11863311
2018,6381477,103a,11863311
2019,6208871,103a,11912636
2020,6208871,103a,12338901
2021,6208871,103a,12338901
2022,6208871,119,12592254
2023,5963012,103a,12492803
2024,5963012,103a,12053861
2025,5963012,103a,12053861
2026,5963012,103a,12375481
2027,5697793,102b,12402042
2028,5697793,103a,12402042
2029,5697793,103a,12402042
2030,5697793,103a,12402042
2031,5697793,103a,12402042
2032,5697793,103a,12402042
2033,5697793,103a,12402042
2034,5697793,103a,12402042
2035,5697793,103a,12402042
2036,5697793,103a,13163797
2037,5697793,103a,13163797
2038,5697793,102a,12722045
2039,5697793,103a,12722045
2040,5697793,103a,12722045
2041,5697793,103a,12722045
2042,5697793,103a,12722045
2043,5754659,103a,12898597
2044,5754659,103a,12898597
2045,5754659,103,12898597
2046,5754659,103,12898597
2047,6591095,103a,12575387
2048,6591095,103,12575387
2049,6591095,103a,11247463
2050,6591095,112,11247463
2051,6591095,103a,11247463
2052,5828660,103a,12921082
2053,5828660,103a,12921082
2054,6169802,103,12100020
2055,6169802,103a,12100020
2056,6141393,103a,11445735
2057,6141393,103a,11445735
2058,6141393,103a,12558856
2059,6141393,103a,11445735
2060,6141393,103a,11445735
2061,6141393,103,11445735
2062,6141393,103a,12527019
2063,6141393,103a,11445735
2064,5959693,103a,11089788
2065,5959693,103a,11695693
2066,7142190,103a,12401437
2067,6020878,102e,12465168
2068,6020878,103a,12465168
