pub_year,blocking_month,count
2013,2012-01-01,0
2014,2012-01-01,0
1997,2012-02-01,0
1998,2012-02-01,6
1999,2012-02-01,14
2000,2012-02-01,15
2001,2012-02-01,5
2002,2012-02-01,14
2003,2012-02-01,11
2004,2012-02-01,3
2005,2012-02-01,11
2006,2012-02-01,12
2007,2012-02-01,8
2008,2012-02-01,5
2009,2012-02-01,5
2010,2012-02-01,16
2011,2012-02-01,3
2012,2012-02-01,1
2013,2012-02-01,0
2014,2012-02-01,0
1997,2012-03-01,1
1998,2012-03-01,7
1999,2012-03-01,6
2000,2012-03-01,10
2001,2012-03-01,10
2002,2012-03-01,7
2003,2012-03-01,18
2004,2012-03-01,11
2005,2012-03-01,4
2006,2012-03-01,9
2007,2012-03-01,6
2008,2012-03-01,2
2009,2012-03-01,3
2010,2012-03-01,2
2011,2012-03-01,2
2012,2012-03-01,0
2013,2012-03-01,0
2014,2012-03-01,0
1997,2012-04-01,1
1998,2012-04-01,12
1999,2012-04-01,26
2000,2012-04-01,11
2001,2012-04-01,14
2002,2012-04-01,10
2003,2012-04-01,15
2004,2012-04-01,10
2005,2012-04-01,5
2006,2012-04-01,11
2007,2012-04-01,9
2008,2012-04-01,1
2009,2012-04-01,4
2010,2012-04-01,6
2011,2012-04-01,4
2012,2012-04-01,4
2013,2012-04-01,0
2014,2012-04-01,0
1997,2012-05-01,3
1998,2012-05-01,1
1999,2012-05-01,5
2000,2012-05-01,11
2001,2012-05-01,9
2002,2012-05-01,2
2003,2012-05-01,4
2004,2012-05-01,8
2005,2012-05-01,20
2006,2012-05-01,7
2007,2012-05-01,15
2008,2012-05-01,11
2009,2012-05-01,6
2010,2012-05-01,5
2011,2012-05-01,2
2012,2012-05-01,7
2013,2012-05-01,0
2014,2012-05-01,0
1997,2012-06-01,0
1998,2012-06-01,0
1999,2012-06-01,16
2000,2012-06-01,3
2001,2012-06-01,7
2002,2012-06-01,14
2003,2012-06-01,16
2004,2012-06-01,12
2005,2012-06-01,10
2006,2012-06-01,6
2007,2012-06-01,3
2008,2012-06-01,3
2009,2012-06-01,4
2010,2012-06-01,4
2011,2012-06-01,6
2012,2012-06-01,2
2013,2012-06-01,0
2014,2012-06-01,0
