app_number,patent_number,blocked_app,date,blocking_type
"09/847,143",7046910,10578151,2011-08-09,102e
"09/847,143",7046910,10578151,2011-08-09,103a
"09/855,385",7190956,12866025,2014-12-19,103a
"09/855,385",7190956,12866025,2014-04-30,103a
"08/665,178",5794185,13008925,2011-11-01,103a
"08/665,178",5794185,12035715,2011-08-15,103a
"12/534,213",8229428,13547133,2012-10-12,119
"11/286,497",7555696,11621919,2011-05-24,103a
"10/692,622",7373181,12336526,2011-04-05,103a
"10/692,622",7373181,13647868,2013-08-15,119
"10/952,362",7414990,11955055,2011-06-21,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/589,842",5862451,12470623,2011-10-25,103a
"08/625,116",5812527,12436517,2011-05-03,102b
"10/413,060",7263365,11842543,2011-05-19,103
"09/648,955",6466804,13252096,2011-12-23,103a
"09/648,955",6466804,10476522,2011-05-05,103a
"09/648,955",6466804,12933760,2012-04-11,103a
"09/648,955",6466804,12990205,2013-10-09,103a
"11/558,243",7729357,11786969,2012-06-07,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12356184,2011-06-28,103a
"10/261,260",7876837,12027794,2012-03-15,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11147396,2011-06-08,103a
"08/720,984",5910951,11945840,2011-07-21,103a
"08/720,984",5910951,11945840,2011-07-21,103a
"08/720,984",5910951,11945840,2012-02-02,103a
"08/720,984",5910951,11945840,2012-02-02,103a
"08/946,210",5946346,12475966,2012-01-04,103a
"09/678,056",6970926,11696428,2011-11-02,103
"09/678,056",6970926,11696428,2011-02-18,103a
"09/678,056",6970926,11696428,2012-05-11,103a
"10/003,153",6836676,13523413,2012-08-03,103a
"08/554,990",5781226,11400371,2012-09-20,103a
"08/554,990",5781226,12711092,2012-07-31,103a
"08/736,383",5886736,12311929,2011-10-27,103a
"08/736,383",5886736,12759554,2012-07-30,102b
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12759554,2012-07-30,103a
"08/736,383",5886736,12747442,2012-08-17,103a
"08/736,383",5886736,12747442,2012-08-17,103a
"08/736,383",5886736,12747442,2012-04-19,102b
"08/736,383",5886736,12747442,2012-04-19,103a
"08/736,383",5886736,12747442,2012-04-19,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"08/736,383",5886736,12759554,2013-03-29,103a
"09/967,239",6563427,11331338,2011-10-17,103a
"09/967,239",6563427,11331338,2011-04-13,103
"11/838,517",8140102,12338573,2012-10-22,103a
"10/284,927",6925128,12905809,2011-03-09,103a
"10/284,927",6925128,12905809,2011-08-23,103
"10/284,927",6925128,13351738,2012-11-29,103a
"10/284,927",6925128,13351738,2012-06-20,103
"09/032,815",6063521,13011752,2012-08-02,103a
"09/032,815",6063521,13011752,2013-05-02,103a
"08/829,271",5848357,11540286,2011-01-07,103a
"08/829,271",5848357,11540286,2011-08-03,103a
"08/829,271",5848357,12495207,2011-11-25,103a
"09/753,833",6421602,12847659,2012-09-04,103a
"09/753,833",6421602,12847659,2012-04-24,103a
"09/218,324",6366302,11550053,2011-09-07,103a
"09/218,324",6366302,11550053,2011-09-07,103a
"09/218,324",6366302,11550053,2011-09-07,103a
"09/218,324",6366302,12692498,2012-06-27,103a
"12/210,359",8037011,12466880,2012-04-13,103a
"11/648,249",7983426,12352323,2011-08-08,103a
"10/610,500",7266101,12646718,2011-10-06,103a
"11/970,981",7729366,11985512,2011-05-10,103a
"11/970,981",7729366,11985512,2011-05-10,103a
"11/970,981",7729366,11985512,2011-05-10,103a
"11/970,981",7729366,11985512,2011-05-10,103a
"11/970,981",7729366,11985512,2011-05-10,103a
"09/602,512",6857132,10498466,2011-04-15,103a
"09/602,512",6857132,11137606,2011-03-14,103a
"09/602,512",6857132,11137606,2011-03-14,103a
"09/602,512",6857132,11137606,2011-03-14,103a
"09/602,512",6857132,11137606,2011-03-14,103a
"09/602,512",6857132,11137606,2011-03-14,103a
"10/796,326",7257421,13160622,2011-12-09,103a
"10/796,326",7257421,13160622,2012-04-12,103a
"10/022,944",6597915,11176512,2011-08-11,103a
"10/022,944",6597915,11176512,2011-01-20,103a
"10/022,944",6597915,11176512,2012-02-29,103a
"08/735,295",5922047,11636998,2011-04-27,103a
"08/735,295",5922047,11636998,2011-10-25,103a
"10/074,114",6965763,11498011,2011-04-04,102e
"10/074,114",6965763,11498011,2011-04-04,103a
"10/074,114",6965763,11498011,2011-04-04,103a
"10/074,114",6965763,11498011,2011-04-04,103a
"10/074,114",6965763,11498011,2011-09-15,102e
"10/074,114",6965763,11498011,2011-09-15,103a
"10/074,114",6965763,11498011,2011-09-15,103a
"10/074,114",6965763,11498011,2011-09-15,103a
"10/074,114",6965763,11498011,2011-09-15,103a
"10/074,114",6965763,12600055,2012-03-15,102b
"10/074,114",6965763,11498011,2012-02-28,102e
"10/074,114",6965763,11498011,2012-02-28,103a
"10/074,114",6965763,11498011,2012-02-28,103a
"10/074,114",6965763,11498011,2012-02-28,103a
"10/074,114",6965763,11498011,2012-02-28,103a
"10/074,114",6965763,12600055,2012-10-17,102b
"11/616,357",7769370,12466111,2011-11-09,102
"11/616,357",7769370,12466111,2011-11-09,103a
"11/616,357",7769370,12466111,2011-11-09,103a
"11/616,357",7769370,12466111,2011-11-09,103a
"11/616,357",7769370,12466111,2011-11-09,103a
"08/701,294",5812956,11985764,2011-03-21,103a
"09/716,682",6948183,11959026,2011-12-22,103a
"09/716,682",6948183,11959026,2011-05-18,103a
"09/716,682",6948183,11959026,2011-05-18,103a
"09/716,682",6948183,11959026,2011-05-18,103a
"09/716,682",6948183,11959026,2011-05-18,103a
"09/716,682",6948183,11959026,2011-05-18,103a
"09/716,682",6948183,12824917,2012-06-08,103a
"09/716,682",6948183,12824917,2012-06-08,103a
"09/716,682",6948183,12824917,2012-11-30,103a
"09/716,682",6948183,12824917,2012-11-30,103a
"09/050,632",5956641,11844332,2011-01-21,103a
"09/050,632",5956641,11588187,2011-03-01,103a
"09/050,632",5956641,11588187,2011-08-05,103a
"09/050,632",5956641,12684393,2012-04-02,103a
"11/856,283",7667371,12715278,2012-05-08,103a
"11/856,283",7667371,12715278,2012-10-19,103a
"11/209,309",7139328,12383143,2011-11-18,103a
"11/209,309",7139328,11777671,2011-12-21,103a
"11/209,309",7139328,11382346,2011-11-08,103a
"11/209,309",7139328,11382346,2011-05-25,103
"11/209,309",7139328,11777671,2011-08-15,103a
"11/209,309",7139328,11777671,2011-02-04,103a
"11/209,309",7139328,12581218,2012-01-20,102e
"11/209,309",7139328,13132896,2013-03-26,103a
"09/439,026",6345307,12352997,2011-02-14,103a
"11/421,837",7676250,11948232,2011-07-20,103a
"11/421,837",7676250,11948232,2011-12-30,103a
"11/421,837",7676250,11948232,2012-01-20,103a
"09/671,949",7103782,11957721,2011-08-15,112
"09/165,487",6269336,11765900,2011-04-28,103a
"09/165,487",6269336,11765900,2011-04-28,103a
"09/165,487",6269336,11765900,2011-04-28,103a
"09/165,487",6269336,11765900,2011-04-28,103a
"09/165,487",6269336,11893676,2011-01-06,103a
"09/165,487",6269336,10404093,2011-05-06,103a
"09/165,487",6269336,11268422,2011-03-09,103a
"09/165,487",6269336,11952713,2011-09-21,103a
"09/165,487",6269336,10404093,2011-10-18,103a
"09/165,487",6269336,10404093,2011-10-18,103a
"09/165,487",6269336,10404093,2011-10-18,103a
"09/165,487",6269336,11952713,2012-01-25,103a
"09/165,487",6269336,13467673,2012-07-06,103a
"11/937,699",7853475,12387096,2011-11-25,103a
"11/937,699",7853475,12387096,2011-06-07,103a
"11/680,116",7873893,12191939,2011-10-12,112
"11/680,116",7873893,12705460,2012-09-17,103a
"08/791,124",5857173,11999839,2011-05-13,103a
"08/791,124",5857173,11999839,2011-11-08,103a
"09/562,396",6304763,12391932,2011-06-07,102b
"08/760,021",5832026,12855483,2012-03-21,103a
"08/934,362",6078571,12567298,2011-10-11,102b
"08/934,362",6078571,12396448,2012-09-25,103a
"10/933,011",7551738,13043658,2013-04-25,102e
"09/359,586",6349216,11973951,2011-01-24,102b
"09/359,586",6349216,11973951,2011-07-20,102b
"09/359,586",6349216,13558248,2012-12-21,102b
"09/359,586",6349216,13325895,2012-09-28,119
"09/973,510",6965754,12486664,2012-08-07,102b
"09/973,510",6965754,12471046,2012-11-23,103a
"09/973,510",6965754,12471046,2012-11-23,103a
"09/973,510",6965754,12471046,2012-11-23,103a
"09/973,510",6965754,12471046,2012-11-23,103a
"09/973,510",6965754,12471046,2012-11-23,103a
"09/973,510",6965754,12471046,2012-11-23,103a
"09/973,510",6965754,13933076,2014-09-16,102b
"09/507,639",6493198,11720225,2011-05-06,103a
"09/507,639",6493198,11720225,2011-01-07,103a
"09/507,639",6493198,12303465,2011-09-21,103a
"09/507,639",6493198,11720225,2011-09-23,103a
"09/078,458",6157545,13079426,2011-07-06,103a
"10/403,711",6936361,12498742,2012-02-15,102
"11/872,179",7764644,12100339,2011-12-15,102e
"10/660,937",7519042,11093323,2011-06-09,103a
"10/660,937",7519042,11093323,2011-09-15,103a
"10/660,937",7519042,11093323,2011-02-16,103a
"10/660,937",7519042,11093323,2012-04-10,103a
"09/392,162",6319631,12685463,2011-06-01,103a
"09/649,699",6525677,12186605,2011-02-10,103a
"09/649,699",6525677,12186605,2011-02-10,103a
"09/665,095",6829475,11929744,2011-06-22,103a
"09/001,248",6175588,12162818,2011-10-27,103a
"09/001,248",6175588,12162818,2011-10-27,103a
"09/001,248",6175588,12162818,2011-06-22,103a
"09/001,248",6175588,12162818,2011-06-22,103a
"09/001,248",6175588,12350279,2011-06-08,102e
"09/001,248",6175588,11856678,2011-03-31,103a
"09/001,248",6175588,11856678,2011-03-31,103a
"09/001,248",6175588,11856678,2011-03-31,103a
"09/001,248",6175588,11856678,2011-03-31,103a
"09/001,248",6175588,11962040,2011-04-29,103a
"09/001,248",6175588,11962040,2011-04-29,103a
"09/001,248",6175588,11962040,2011-04-29,103a
"09/001,248",6175588,11962040,2011-04-29,103a
"09/001,248",6175588,11848664,2012-04-12,103a
"09/001,248",6175588,11848664,2012-10-03,103a
"09/001,248",6175588,12162818,2012-03-07,103a
"09/001,248",6175588,12162818,2012-03-07,103a
"09/001,248",6175588,12955722,2012-09-12,103a
"09/001,248",6175588,11640994,2012-08-02,103a
"09/001,248",6175588,11640994,2012-11-06,103a
"09/001,248",6175588,11848664,2013-08-13,103a
"08/580,916",6018671,12081141,2011-11-08,103a
"08/580,916",6018671,11558155,2011-01-10,102b
"08/580,916",6018671,12081141,2011-05-10,103a
"08/781,252",5805095,11819939,2011-01-20,103a
"09/759,846",6987738,13302525,2012-02-08,102e
"09/667,028",6697637,12678885,2012-03-23,103a
"08/566,617",5732387,12044713,2011-03-17,103a
"08/566,617",5732387,12044713,2011-03-17,103a
"08/566,617",5732387,12044713,2011-03-17,103a
"08/566,617",5732387,12044713,2011-03-17,103a
"08/566,617",5732387,12044713,2011-03-17,103a
"08/566,617",5732387,12044713,2011-03-17,103a
"08/566,617",5732387,12044713,2011-03-17,103a
"09/703,046",6662010,13042824,2011-08-23,103a
"09/703,046",6662010,13042824,2011-08-23,103a
"10/235,895",6757337,12043348,2011-10-18,103a
"10/235,895",6757337,12043348,2011-10-18,103a
"10/744,721",7373013,11863393,2011-02-03,112
"10/159,994",6944455,11750045,2011-10-26,103
"10/159,994",6944455,11750045,2011-04-29,103a
"09/993,108",6756938,12034012,2011-04-06,102b
"09/993,108",6756938,12034012,2012-06-01,103a
"09/993,108",6756938,12034012,2012-06-01,103a
"09/993,108",6756938,12034012,2012-08-01,103a
"09/993,108",6756938,12034012,2012-08-01,103a
"09/993,108",6756938,12034012,2012-08-01,103a
"09/655,996",6671852,12852368,2012-12-19,103a
"09/655,996",6671852,12852397,2012-10-09,103a
"10/431,740",6822611,12738764,2012-12-26,102b
"90/010,282",5958006,9782412,2011-03-16,103a
"90/010,282",5958006,9782412,2011-03-16,103a
"90/010,282",5958006,9782412,2011-03-16,103a
"90/010,282",5958006,9782107,2011-10-31,103a
"90/010,282",5958006,9782107,2011-10-31,103a
"90/010,282",5958006,9782107,2011-03-17,103a
"90/010,282",5958006,11925770,2011-02-23,102e
"90/010,282",5958006,13043903,2011-11-23,103a
"90/010,282",5958006,13043903,2011-11-23,103a
"90/010,282",5958006,13043903,2011-11-23,103a
"90/010,282",5958006,13020322,2011-04-05,102b
"90/010,282",5958006,9782412,2011-08-24,103a
"90/010,282",5958006,9782412,2011-08-24,103a
"90/010,282",5958006,9782412,2011-08-24,103a
"90/010,282",5958006,9782412,2011-08-24,103a
"90/010,282",5958006,9782412,2011-08-24,103a
"90/010,282",5958006,9782412,2011-08-24,103a
"90/010,282",5958006,13043903,2012-04-02,103a
"90/010,282",5958006,13043903,2012-04-02,103a
"90/010,282",5958006,13043903,2012-04-02,103a
"90/010,282",5958006,13043903,2012-04-02,103a
"90/010,282",5958006,13359586,2012-06-20,103a
"90/010,282",5958006,13359586,2012-06-20,103a
"90/010,282",5958006,13359586,2012-06-20,103a
"90/010,282",5958006,13359586,2012-06-20,103a
"90/010,282",5958006,13346759,2012-04-13,102b
"90/010,282",5958006,13359586,2012-10-23,103a
"90/010,282",5958006,13359586,2012-10-23,103a
"90/010,282",5958006,13359586,2012-10-23,103a
"90/010,282",5958006,13359586,2012-10-23,103a
"90/010,282",5958006,13346759,2012-06-22,102b
"90/010,282",5958006,13359586,2013-06-13,103a
"90/010,282",5958006,13359586,2013-06-13,103a
"90/010,282",5958006,13359586,2013-06-13,103a
"90/010,282",5958006,13359586,2013-06-13,103a
"08/574,541",5958006,9782412,2011-03-16,103a
"08/574,541",5958006,9782412,2011-03-16,103a
"08/574,541",5958006,9782412,2011-03-16,103a
"08/574,541",5958006,9782107,2011-10-31,103a
"08/574,541",5958006,9782107,2011-10-31,103a
"08/574,541",5958006,9782107,2011-03-17,103a
"08/574,541",5958006,11925770,2011-02-23,102e
"08/574,541",5958006,13043903,2011-11-23,103a
"08/574,541",5958006,13043903,2011-11-23,103a
"08/574,541",5958006,13043903,2011-11-23,103a
"08/574,541",5958006,13020322,2011-04-05,102b
"08/574,541",5958006,9782412,2011-08-24,103a
"08/574,541",5958006,9782412,2011-08-24,103a
"08/574,541",5958006,9782412,2011-08-24,103a
"08/574,541",5958006,9782412,2011-08-24,103a
"08/574,541",5958006,9782412,2011-08-24,103a
"08/574,541",5958006,9782412,2011-08-24,103a
"08/574,541",5958006,13043903,2012-04-02,103a
"08/574,541",5958006,13043903,2012-04-02,103a
"08/574,541",5958006,13043903,2012-04-02,103a
"08/574,541",5958006,13043903,2012-04-02,103a
"08/574,541",5958006,13359586,2012-06-20,103a
"08/574,541",5958006,13359586,2012-06-20,103a
"08/574,541",5958006,13359586,2012-06-20,103a
"08/574,541",5958006,13359586,2012-06-20,103a
"08/574,541",5958006,13346759,2012-04-13,102b
"08/574,541",5958006,13359586,2012-10-23,103a
"08/574,541",5958006,13359586,2012-10-23,103a
"08/574,541",5958006,13359586,2012-10-23,103a
"08/574,541",5958006,13359586,2012-10-23,103a
"08/574,541",5958006,13346759,2012-06-22,102b
"08/574,541",5958006,13359586,2013-06-13,103a
"08/574,541",5958006,13359586,2013-06-13,103a
"08/574,541",5958006,13359586,2013-06-13,103a
"08/574,541",5958006,13359586,2013-06-13,103a
"09/727,730",6617075,11338709,2011-10-06,103a
"10/928,235",7138979,11825993,2011-07-18,103a
"10/928,235",7138979,11825993,2011-07-18,103a
"10/928,235",7138979,11825993,2011-07-18,103a
"09/648,776",6564047,12163631,2011-04-04,103a
"09/648,776",6564047,11686342,2011-05-24,103a
"10/427,120",7013143,11118063,2011-07-15,103a
"10/427,120",7013143,11118063,2011-07-15,103a
"10/427,120",7013143,11118063,2011-02-03,103a
"10/427,120",7013143,11118063,2011-02-03,103a
"10/427,120",7013143,10941266,2011-01-05,103a
"10/427,120",7013143,11176579,2011-08-22,103
"10/427,120",7013143,11176579,2011-03-03,103a
"10/427,120",7013143,10941266,2011-06-16,103a
"10/427,120",7013143,13527279,2012-11-21,103a
"09/089,035",5987021,11870181,2011-01-04,103a
"09/638,944",6532593,11250086,2011-03-03,103a
"09/638,944",6532593,11898996,2011-12-05,103
"09/638,944",6532593,11250086,2011-06-27,103a
"09/638,944",6532593,11060224,2011-03-15,103a
"09/638,944",6532593,12951536,2012-12-07,119a
"09/638,944",6532593,12850121,2012-09-17,103a
"11/119,852",8018893,12951149,2012-09-12,102e
"11/119,852",8018893,12951149,2012-09-12,103a
"11/119,852",8018893,13003618,2012-12-21,102
"11/119,852",8018893,12739713,2012-08-24,103a
"11/119,852",8018893,12429340,2013-07-11,103a
"09/001,625",6138042,12183156,2011-12-22,103
"09/001,625",6138042,12183156,2011-12-22,103a
"09/001,625",6138042,12183156,2011-05-20,103a
"11/674,998",7778653,13162318,2012-01-12,102e
"08/625,499",6219840,10881979,2011-06-21,103a
"09/728,144",6484033,11930362,2011-01-03,103a
"09/728,144",6484033,12142207,2011-03-02,103a
"09/728,144",6484033,12142207,2011-08-19,103a
"10/372,919",7209717,12477862,2011-08-25,103a
"10/372,919",7209717,12477862,2011-12-29,103a
"12/207,773",7944484,12381422,2011-09-22,103a
"12/207,773",7944484,12322822,2012-02-03,103a
"09/549,004",6882709,11853591,2011-12-15,103a
"09/549,004",6882709,10974497,2011-09-13,103a
"09/549,004",6882709,11698372,2011-05-16,103a
"09/549,004",6882709,11698372,2011-05-16,103a
"09/549,004",6882709,11698372,2011-05-16,103a
"09/549,004",6882709,11698372,2011-05-16,103a
"09/549,004",6882709,11698372,2011-05-16,103a
"09/549,004",6882709,11586482,2011-03-02,103a
"09/549,004",6882709,11586482,2011-03-02,103a
"09/549,004",6882709,11780760,2011-04-14,103a
"09/549,004",6882709,11853591,2011-06-20,103a
"09/549,004",6882709,11780788,2011-07-18,103a
"09/549,004",6882709,11853591,2011-02-10,103a
"09/549,004",6882709,11651092,2011-08-29,103a
"09/549,004",6882709,11780748,2011-09-13,103a
"09/549,004",6882709,11780748,2011-04-13,103a
"09/549,004",6882709,10974497,2011-04-25,103a
"09/549,004",6882709,12844165,2012-10-12,119
"09/549,004",6882709,12844165,2012-10-12,103a
"09/549,004",6882709,12844165,2012-10-12,103a
"09/549,004",6882709,12844165,2012-10-12,103a
"09/549,004",6882709,12844165,2012-05-09,103a
"09/549,004",6882709,12844165,2012-05-09,103a
"09/549,004",6882709,12844165,2012-05-09,103a
"09/549,004",6882709,12844165,2012-05-09,103a
"09/549,004",6882709,12844165,2012-05-09,103a
"09/549,004",6882709,12844165,2012-05-09,103a
"09/549,004",6882709,11651092,2012-03-13,103a
"09/549,004",6882709,12844165,2012-07-31,119
"09/549,004",6882709,12844165,2012-07-31,103a
"09/549,004",6882709,12844165,2012-07-31,103a
"09/549,004",6882709,12844165,2012-07-31,103a
"09/549,004",6882709,12844165,2012-07-31,103a
"09/549,004",6882709,12844165,2012-07-31,103a
"09/549,004",6882709,12844165,2012-07-31,103a
"09/549,004",6882709,12190406,2012-05-10,103a
"09/549,004",6882709,12190406,2012-05-10,103a
"09/549,004",6882709,12190406,2012-05-10,103a
"09/549,004",6882709,12190406,2012-05-10,103a
"09/549,004",6882709,12190406,2012-05-10,103a
"09/549,004",6882709,12190406,2012-05-10,103a
"09/549,004",6882709,12190406,2012-05-10,103a
"09/549,004",6882709,12830585,2012-11-19,103a
"09/549,004",6882709,12830585,2012-11-19,103a
"09/549,004",6882709,12830585,2012-11-19,103a
"09/549,004",6882709,12844165,2013-01-15,102b
"09/549,004",6882709,12844165,2013-01-15,103a
"09/549,004",6882709,12844165,2013-01-15,103a
"09/549,004",6882709,12844165,2013-01-15,103a
"09/549,004",6882709,12830585,2013-03-11,103a
"09/549,004",6882709,12830585,2013-03-11,103a
"09/549,004",6882709,12830585,2013-03-11,103a
"09/512,140",6307846,11050357,2011-07-13,102b
"09/512,140",6307846,11856788,2011-01-05,103a
"09/512,140",6307846,11765994,2011-03-25,103a
"09/512,140",6307846,11765994,2011-03-25,103a
"09/512,140",6307846,12197428,2011-08-24,103a
"09/512,140",6307846,11050357,2011-01-20,102b
"09/512,140",6307846,11681156,2011-12-28,103a
"09/512,140",6307846,11050357,2012-04-12,102b
"09/512,140",6307846,11050357,2012-04-12,103a
"09/512,140",6307846,13051659,2012-11-13,103a
"09/512,140",6307846,11681156,2012-06-21,103a
"09/512,140",6307846,13051659,2012-05-24,103a
"09/512,140",6307846,11050357,2012-10-25,119
"09/512,140",6307846,11050357,2012-10-25,102b
"09/512,140",6307846,11050357,2012-10-25,103a
"08/572,837",5656917,13357137,2013-05-09,112
"10/383,599",6876543,12360750,2011-06-28,103a
"10/383,599",6876543,12360750,2011-06-28,103a
"08/944,118",5991447,12087488,2011-10-06,103a
"08/944,118",5991447,10588404,2011-05-24,103a
"08/944,118",5991447,10588404,2011-09-13,103a
"10/002,047",7042879,12030284,2011-04-19,103
"09/494,444",6968158,11957595,2011-03-23,103a
"10/195,858",7108914,12044654,2011-07-11,103a
"10/195,858",7108914,12595905,2011-05-18,103a
"08/904,990",6044158,11459193,2011-02-18,103
"08/941,383",6223035,12159377,2011-06-23,103a
"10/606,423",7567239,12061368,2011-02-03,102e
"10/172,035",6791995,11586383,2011-04-28,103
"10/172,035",6791995,11586383,2011-04-28,103
"10/172,035",6791995,12499450,2011-04-04,103a
"10/131,414",7020198,11959937,2011-08-18,103a
"08/572,413",5661635,13304554,2012-05-30,103a
"08/572,413",5661635,13304554,2012-05-30,103
"08/581,010",5966671,11519049,2011-03-17,103a
"09/495,162",6321073,11131147,2011-01-20,103a
"09/495,162",6321073,11862330,2011-06-20,103a
"09/495,162",6321073,11862330,2011-01-28,103a
"09/495,162",6321073,11131147,2011-05-26,103a
"09/495,162",6321073,11131147,2011-05-26,103a
"09/495,162",6321073,11376502,2011-09-30,103a
"09/495,162",6321073,11376502,2011-09-30,103a
"09/495,162",6321073,11131147,2011-10-18,103a
"09/495,162",6321073,11131147,2011-10-18,103a
"09/495,162",6321073,11376502,2012-05-02,103a
"09/495,162",6321073,11376502,2012-05-02,103a
"09/495,162",6321073,11376502,2012-05-02,103a
"09/495,162",6321073,11376502,2012-10-22,103a
"09/495,162",6321073,11376502,2012-10-22,103a
"09/495,162",6321073,11373612,2012-06-22,119
"09/495,162",6321073,11862330,2012-04-11,103a
"10/314,650",7095403,12391564,2012-05-02,103a
"09/818,767",6901122,13001194,2012-05-14,103
"09/818,767",6901122,13001598,2012-05-22,103
"09/818,767",6901122,13001269,2012-05-11,103
"08/609,257",5781547,11929580,2011-04-26,102b
"08/609,257",5781547,11929580,2011-04-26,103a
"08/609,257",5781547,11929580,2011-04-26,103a
"11/531,122",7461106,12196414,2011-10-05,119
"11/531,122",7461106,12047632,2011-10-18,119
"11/531,122",7461106,12047632,2011-10-18,119
"11/531,122",7461106,12047632,2011-03-02,112
"11/531,122",7461106,12047632,2011-03-02,112
"11/531,122",7461106,12047632,2011-03-02,112
"10/035,039",7126996,12346387,2011-03-28,103a
"10/035,039",7126996,12346387,2011-09-26,103a
"10/035,039",7126996,11963265,2011-10-11,102b
"10/035,039",7126996,11963265,2011-10-11,103a
"10/035,039",7126996,12167450,2011-05-11,103a
"10/035,039",7126996,12167450,2011-05-11,103a
"10/035,039",7126996,12167450,2011-05-11,103a
"10/035,039",7126996,12167450,2011-10-07,119
"10/035,039",7126996,12167450,2011-10-07,103a
"10/035,039",7126996,12167450,2011-10-07,103a
"10/035,039",7126996,13555780,2012-11-02,103a
"10/035,039",7126996,12167450,2012-04-18,103a
"10/035,039",7126996,12167450,2012-04-18,103a
"10/035,039",7126996,12167450,2012-04-18,103a
"10/035,039",7126996,13555773,2012-10-24,103a
"10/035,039",7126996,13555758,2012-10-25,103a
"10/035,039",7126996,12528419,2012-02-24,103a
"10/035,039",7126996,13555743,2012-10-24,103a
"10/035,039",7126996,13371162,2013-04-22,103a
"10/035,039",7126996,14175564,2014-09-03,119a
"09/088,786",6108046,11932978,2011-11-14,103a
"09/088,786",6108046,11932978,2011-11-14,103a
"09/088,786",6108046,11932978,2011-11-14,103a
"09/088,786",6108046,11646219,2011-11-17,103a
"09/088,786",6108046,11646219,2011-11-17,103a
"09/088,786",6108046,11646219,2011-07-19,103a
"09/088,786",6108046,11646219,2011-07-19,103a
"09/560,977",6658272,12856275,2011-03-22,103a
"09/560,977",6658272,12856275,2011-03-22,103a
"09/560,977",6658272,12019291,2011-09-02,103
"09/560,977",6658272,12019291,2011-09-02,103
"09/560,977",6658272,10294286,2011-03-23,103a
"09/560,977",6658272,10294286,2011-03-23,103a
"09/560,977",6658272,10813280,2011-01-25,102e
"09/560,977",6658272,12856275,2011-10-11,103
"09/560,977",6658272,12856275,2011-10-11,103
"09/560,977",6658272,12856275,2012-07-10,103a
"09/560,977",6658272,12856275,2012-07-10,103a
"09/560,977",6658272,12941924,2012-09-19,103a
"09/560,977",6658272,12856275,2012-03-16,103
"09/560,977",6658272,12856275,2012-03-16,103a
"09/667,354",6421607,11933149,2011-10-13,102b
"09/667,354",6421607,11933149,2011-03-24,102b
"10/370,397",6795768,12164916,2011-04-27,102b
"10/370,397",6795768,12164916,2011-12-06,102b
"10/370,397",6795768,12164916,2011-12-06,102b
"08/815,500",5966656,12901876,2012-01-06,103a
"08/815,500",5966656,12901876,2012-01-06,103a
"08/815,500",5966656,12901876,2012-09-12,103a
"08/382,338",6009325,13551726,2012-09-13,119
"08/382,338",6009325,13337357,2012-07-18,119
"11/027,626",7310375,12951732,2012-04-03,119
"11/027,626",7310375,12951732,2013-02-26,119a
"08/895,932",5995840,11423931,2011-06-06,103a
"10/334,161",7282891,12839797,2012-08-30,102e
"09/215,527",6128287,11549931,2011-04-14,103a
"09/215,527",6128287,11549931,2012-01-10,103a
"11/283,075",7697480,11282331,2011-03-08,119a
"11/283,075",7697480,11282331,2011-03-08,119a
"11/283,075",7697480,12068740,2011-12-01,112
"09/667,847",6609004,11728195,2011-01-05,103a
"09/667,847",6609004,11728195,2011-01-05,103a
"10/807,549",7242923,11877956,2011-05-06,103a
"10/807,549",7242923,11653408,2012-01-04,103a
"09/629,321",7239896,12573264,2011-12-06,103a
"09/629,321",7239896,12573264,2011-12-06,103a
"09/629,321",7239896,12587227,2011-10-18,103a
"09/629,321",7239896,12587227,2012-03-27,103a
"09/629,321",7239896,13558531,2012-10-17,103a
"11/286,944",7586990,12096220,2011-03-03,103a
"11/286,944",7586990,12399769,2011-08-09,103a
"10/423,243",7640373,12352486,2011-03-03,103a
