,PatentID,Blockings,Citations,Ratio,Blocking_appnumber
166,6896548,0,7,0.0,0
167,8037541,0,13,0.0,0
168,8565350,0,0,0.0,0
169,8954501,0,0,0.0,0
170,8599871,0,0,0.0,0
171,6269336,13,206,0.0631067961165,6
172,5970391,0,4,0.0,0
173,5666657,0,0,0.0,0
174,7853475,2,1,2.0,1
175,5991800,0,11,0.0,0
176,7224512,0,1,0.0,0
177,6769091,0,15,0.0,0
178,5726983,0,0,0.0,0
179,6999467,0,18,0.0,0
180,7626972,0,1,0.0,0
181,7295544,0,1,0.0,0
182,6131089,0,1,0.0,0
183,6978139,0,1,0.0,0
184,D737815,0,0,0.0,0
185,7899188,0,2,0.0,0
186,7873893,2,2,1.0,2
187,8819759,0,0,0.0,0
188,6353617,0,1,0.0,0
189,5892910,0,27,0.0,0
190,6678258,0,6,0.0,0
191,5857173,2,13,0.153846153846,1
192,7394770,0,0,0.0,0
193,7885394,0,0,0.0,0
194,8193971,0,1,0.0,0
195,6873826,0,2,0.0,0
196,6304763,1,14,0.07142857142860001,1
197,6985099,0,4,0.0,0
198,8874634,0,0,0.0,0
199,8160561,0,0,0.0,0
200,8873570,0,0,0.0,0
201,5786727,0,79,0.0,0
202,7082303,0,3,0.0,0
203,5644743,0,7,0.0,0
204,9069549,0,0,0.0,0
205,5949774,0,0,0.0,0
206,7424294,0,3,0.0,0
207,7346356,0,0,0.0,0
208,5832026,1,6,0.166666666667,1
209,6972542,0,20,0.0,0
210,7424276,0,1,0.0,0
211,6078571,2,9,0.222222222222,2
212,7689247,0,1,0.0,0
213,5694120,0,24,0.0,0
214,5883612,0,3,0.0,0
215,7551738,1,1,1.0,1
216,7853009,0,2,0.0,0
217,6914906,0,2,0.0,0
218,6349216,4,66,0.0606060606061,3
219,5982351,0,8,0.0,0
220,6212414,0,25,0.0,0
221,6965754,8,59,0.135593220339,3
222,8224310,0,0,0.0,0
223,8392702,0,0,0.0,0
224,6819290,0,2,0.0,0
225,7564820,0,2,0.0,0
226,7123714,0,0,0.0,0
227,7185284,0,0,0.0,0
228,6429771,0,3,0.0,0
229,8873660,0,0,0.0,0
230,6178402,0,4,0.0,0
231,8537790,0,1,0.0,0
232,6969974,0,3,0.0,0
233,8374268,0,0,0.0,0
234,8537911,0,3,0.0,0
235,5950162,0,1,0.0,0
236,5923007,0,1,0.0,0
237,8265080,0,2,0.0,0
238,8483751,0,0,0.0,0
239,7136680,0,9,0.0,0
240,7035867,0,4,0.0,0
241,5920612,0,0,0.0,0
242,6931264,0,1,0.0,0
243,7721945,0,0,0.0,0
244,5787130,0,13,0.0,0
245,8817951,0,0,0.0,0
246,9035883,0,0,0.0,0
247,6778518,0,3,0.0,0
248,8380213,0,3,0.0,0
249,5864299,0,0,0.0,0
250,8509777,0,0,0.0,0
251,7701932,0,0,0.0,0
252,8798202,0,0,0.0,0
253,8457368,0,0,0.0,0
254,5884215,0,3,0.0,0
255,6493198,4,7,0.5714285714289999,2
256,8255698,0,12,0.0,0
257,5908717,0,1,0.0,0
258,7286366,0,5,0.0,0
259,6134452,0,6,0.0,0
260,8494145,0,0,0.0,0
261,8755811,0,0,0.0,0
262,7206454,0,1,0.0,0
263,6484945,0,6,0.0,0
264,6498805,0,2,0.0,0
265,6157545,1,18,0.0555555555556,1
266,8013800,0,0,0.0,0
