"","pub_year","cit_month","count"
"927","2001",2014-11-01,121
"928","2002",2014-11-01,64
"929","2003",2014-11-01,107
"930","2004",2014-11-01,132
"931","2005",2014-11-01,100
"932","2006",2014-11-01,120
"933","2007",2014-11-01,41
"934","2008",2014-11-01,34
"935","2009",2014-11-01,22
"936","2010",2014-11-01,35
"937","2011",2014-11-01,43
"938","2012",2014-11-01,27
"939","2013",2014-11-01,33
"940","2014",2014-11-01,4
"941","1994",2014-12-01,0
"942","1996",2014-12-01,0
"943","1997",2014-12-01,10
"944","1998",2014-12-01,82
"945","1999",2014-12-01,137
"946","2000",2014-12-01,150
"947","2001",2014-12-01,124
"948","2002",2014-12-01,76
"949","2003",2014-12-01,95
"950","2004",2014-12-01,101
"951","2005",2014-12-01,69
"952","2006",2014-12-01,89
"953","2007",2014-12-01,53
"954","2008",2014-12-01,33
"955","2009",2014-12-01,33
"956","2010",2014-12-01,55
"957","2011",2014-12-01,44
"958","2012",2014-12-01,31
"959","2013",2014-12-01,24
"960","2014",2014-12-01,10
