id,date
6014102,2000-01-11
6014376,2000-01-11
6014552,2000-01-11
6016107,2000-01-18
6016312,2000-01-18
6016422,2000-01-18
6016511,2000-01-18
6018360,2000-01-25
6018651,2000-01-25
6018671,2000-01-25
6018764,2000-01-25
6026296,2000-02-15
6031467,2000-02-29
6035191,2000-03-07
6035491,2000-03-14
6038535,2000-03-14
6038549,2000-03-14
6040683,2000-03-21
6040781,2000-03-21
6041045,2000-03-21
6043786,2000-03-28
6043838,2000-03-28
6044158,2000-03-28
6044276,2000-03-28
6045946,2000-04-04
6047033,2000-04-04
6047066,2000-04-04
6047084,2000-04-04
6048638,2000-04-11
6049543,2000-04-11
6049704,2000-04-11
6049707,2000-04-11
6052559,2000-04-18
6052600,2000-04-18
6055229,2000-04-25
6055333,2000-04-25
6058107,2000-05-02
6060997,2000-05-09
6061574,2000-05-09
6063521,2000-05-16
6064659,2000-05-16
6065187,2000-05-23
6067324,2000-05-23
6069530,2000-05-30
6070089,2000-05-30
6072778,2000-06-06
6072831,2000-06-06
6073092,2000-06-06
6078227,2000-06-20
6078571,2000-06-20
6078794,2000-06-20
6078809,2000-06-20
6080501,2000-06-27
6081202,2000-06-27
6081510,2000-06-27
6081600,2000-06-27
6081719,2000-06-27
6081733,2000-06-27
6081815,2000-06-27
6084782,2000-07-04
6084967,2000-07-04
6084968,2000-07-04
6085068,2000-07-04
6085252,2000-07-04
6088217,2000-07-11
6091229,2000-07-18
6091357,2000-07-18
6091716,2000-07-18
6091759,2000-07-18
6094565,2000-07-25
6094628,2000-07-25
6097252,2000-08-01
6097973,2000-08-01
6101175,2000-08-08
6104709,2000-08-15
6104726,2000-08-15
6104747,2000-08-15
6104991,2000-08-15
6104993,2000-08-15
6105006,2000-08-15
6105095,2000-08-15
6108046,2000-08-22
6108314,2000-08-22
6108322,2000-08-22
6112074,2000-08-29
6112244,2000-08-29
6114634,2000-09-05
6114968,2000-09-05
6116960,2000-09-12
6118081,2000-09-12
6119010,2000-09-12
6122014,2000-09-19
6122283,2000-09-19
6122335,2000-09-19
6122488,2000-09-19
6123474,2000-09-26
6125110,2000-09-26
6125137,2000-09-26
6125262,2000-09-26
6125278,2000-09-26
6125286,2000-09-26
6127802,2000-10-03
6128287,2000-10-03
6128478,2000-10-03
6128735,2000-10-03
6128763,2000-10-03
6130518,2000-10-10
6130613,2000-10-10
6131089,2000-10-10
6133850,2000-10-17
6134121,2000-10-17
6134221,2000-10-17
6134223,2000-10-17
6134237,2000-10-17
6134336,2000-10-17
6134452,2000-10-17
6134527,2000-10-17
6137883,2000-10-24
6138030,2000-10-24
6138042,2000-10-24
6141453,2000-10-31
6141535,2000-10-31
6141540,2000-10-31
6141541,2000-10-31
6141542,2000-10-31
6141564,2000-10-31
6141638,2000-10-31
6144186,2000-11-07
6144276,2000-11-07
6144704,2000-11-07
6147984,2000-11-14
6148064,2000-11-14
6148183,2000-11-14
6148211,2000-11-14
6151362,2000-11-21
6151397,2000-11-21
6151501,2000-11-21
6156408,2000-12-05
6157313,2000-12-05
6157545,2000-12-05
6157631,2000-12-05
6157679,2000-12-05
6157906,2000-12-05
6160805,2000-12-12
6161015,2000-12-12
6161018,2000-12-12
6161207,2000-12-12
6163585,2000-12-19
6163701,2000-12-19
6163765,2000-12-19
6163766,2000-12-19
6164531,2000-12-26
6167268,2000-12-26
6167275,2000-12-26
6167280,2000-12-26
6169522,2001-01-02
6169538,2001-01-02
6169886,2001-01-02
6169903,2001-01-02
6169906,2001-01-02
6170005,2001-01-02
6173189,2001-01-09
6173330,2001-01-09
6173883,2001-01-16
6175334,2001-01-16
6175561,2001-01-16
6175588,2001-01-16
6175740,2001-01-16
6177907,2001-01-23
6178166,2001-01-23
6178402,2001-01-23
6181685,2001-01-30
6181946,2001-01-30
6182036,2001-01-30
6182038,2001-01-30
6184751,2001-02-06
6185266,2001-02-06
6188767,2001-02-13
6191738,2001-02-20
6192247,2001-02-20
6192253,2001-02-20
6192256,2001-02-20
6192353,2001-02-20
6194975,2001-02-27
6195342,2001-02-27
6198735,2001-03-06
6198748,2001-03-06
6198782,2001-03-06
6199086,2001-03-06
6201526,2001-03-13
6201955,2001-03-13
6205344,2001-03-20
6206293,2001-03-27
6208668,2001-03-27
6211819,2001-04-03
6212362,2001-04-03
6212382,2001-04-03
6212414,2001-04-03
6212550,2001-04-03
6216086,2001-04-10
6219540,2001-04-17
6219703,2001-04-17
6219840,2001-04-17
6223035,2001-04-24
6223154,2001-04-24
6223291,2001-04-24
6226283,2001-05-01
6226317,2001-05-01
6226403,2001-05-01
6228440,2001-05-08
6229794,2001-05-08
6233235,2001-05-15
6233559,2001-05-15
6236960,2001-05-22
6242979,2001-06-05
6243056,2001-06-05
6246327,2001-06-12
6246676,2001-06-12
6249678,2001-06-19
6252434,2001-06-26
6252455,2001-06-26
6252456,2001-06-26
6253063,2001-06-26
6256494,2001-07-03
6259491,2001-07-10
6259733,2001-07-10
6259741,2001-07-10
6263191,2001-07-17
6265977,2001-07-24
6269254,2001-07-31
6269336,2001-07-31
6275536,2001-08-14
6275693,2001-08-14
6275800,2001-08-14
6278723,2001-08-21
6281712,2001-08-28
6282182,2001-08-28
6285786,2001-09-04
6289129,2001-09-11
6289377,2001-09-11
6291756,2001-09-18
6292307,2001-09-18
6298054,2001-10-02
6298082,2001-10-02
6298223,2001-10-02
6304558,2001-10-16
6304763,2001-10-16
6307846,2001-10-23
6307901,2001-10-23
6310898,2001-10-30
6313736,2001-11-06
6314095,2001-11-06
6314301,2001-11-06
6317411,2001-11-13
6319631,2001-11-20
6321070,2001-11-20
6321073,2001-11-20
6323804,2001-11-27
6323849,2001-11-27
6327275,2001-12-04
6327299,2001-12-04
6327303,2001-12-04
6327307,2001-12-04
6333682,2001-12-25
6334063,2001-12-25
6339612,2002-01-15
6342774,2002-01-29
6345307,2002-02-05
6347127,2002-02-12
6347228,2002-02-12
6347233,2002-02-12
6347882,2002-02-19
6349216,2002-02-19
6349314,2002-02-19
6351531,2002-02-26
6351656,2002-02-26
6353359,2002-03-05
6353382,2002-03-05
6353617,2002-03-05
6353742,2002-03-05
6356054,2002-03-12
6363246,2002-03-26
6363249,2002-03-26
6366302,2002-04-02
6373437,2002-04-16
6373829,2002-04-16
6373884,2002-04-16
6374177,2002-04-16
6377161,2002-04-23
6384727,2002-05-07
6385548,2002-05-07
6387559,2002-05-14
6389269,2002-05-14
6389287,2002-05-14
6390355,2002-05-21
6393079,2002-05-21
6394826,2002-05-28
6404764,2002-06-11
6404807,2002-06-11
6408340,2002-06-18
6408436,2002-06-18
6414938,2002-07-02
6415252,2002-07-02
6420960,2002-07-16
6421016,2002-07-16
6421379,2002-07-16
6421602,2002-07-16
6421607,2002-07-16
6424623,2002-07-23
6424743,2002-07-23
6425002,2002-07-23
6425133,2002-07-23
6427075,2002-07-30
6429771,2002-08-06
6429811,2002-08-06
6430214,2002-08-06
6434197,2002-08-13
6434391,2002-08-13
6438109,2002-08-20
6438225,2002-08-20
6441701,2002-08-27
6442401,2002-08-27
6444352,2002-09-03
6445588,2002-09-03
6449264,2002-09-10
6449465,2002-09-10
6453040,2002-09-17
6453045,2002-09-17
6453160,2002-09-17
6453291,2002-09-17
6455194,2002-09-24
6459440,2002-10-01
6459891,2002-10-01
6463275,2002-10-08
6465119,2002-10-15
6466614,2002-10-15
6466804,2002-10-15
6470003,2002-10-22
6470049,2002-10-22
6473631,2002-10-29
6477372,2002-11-05
6480555,2002-11-12
6480821,2002-11-12
6483874,2002-11-19
6484033,2002-11-19
6484945,2002-11-26
6486794,2002-11-26
6486874,2002-11-26
6487184,2002-11-26
6487721,2002-11-26
6493198,2002-12-10
6493556,2002-12-10
6493671,2002-12-10
6493875,2002-12-10
6497975,2002-12-24
6498358,2002-12-24
6498667,2002-12-24
6498805,2002-12-24
6503378,2003-01-07
6505058,2003-01-07
6507607,2003-01-14
6509659,2003-01-21
6510142,2003-01-21
6515222,2003-02-04
6515577,2003-02-04
6525677,2003-02-25
6526031,2003-02-25
6529728,2003-03-04
6529748,2003-03-04
6529804,2003-03-04
6532156,2003-03-11
6532593,2003-03-11
6535548,2003-03-18
6539359,2003-03-25
6546102,2003-04-08
6549523,2003-04-15
6549789,2003-04-15
6553017,2003-04-22
6553228,2003-04-22
6556131,2003-04-29
6556814,2003-04-29
6560298,2003-05-06
6563427,2003-05-13
6564047,2003-05-13
6567663,2003-05-20
6567745,2003-05-20
6570938,2003-05-27
6571112,2003-05-27
6573782,2003-06-03
6585424,2003-07-01
6586124,2003-07-01
6586885,2003-07-01
6587398,2003-07-01
6587501,2003-07-01
6592696,2003-07-15
6594247,2003-07-15
6594414,2003-07-15
6597915,2003-07-22
6600369,2003-07-29
6600928,2003-07-29
6606483,2003-08-12
6608861,2003-08-19
6609004,2003-08-19
6611197,2003-08-26
6614806,2003-09-02
6617075,2003-09-09
6624726,2003-09-23
6625425,2003-09-23
6625428,2003-09-23
6631127,2003-10-07
6631260,2003-10-07
6640087,2003-10-28
6640208,2003-10-28
6640222,2003-10-28
6643503,2003-11-04
6643512,2003-11-04
6647061,2003-11-11
6649852,2003-11-18
6653816,2003-11-25
6653915,2003-11-25
6658268,2003-12-02
6658272,2003-12-02
6660427,2003-12-09
6661284,2003-12-09
6661371,2003-12-09
6662010,2003-12-09
6665521,2003-12-16
6667769,2003-12-23
6668173,2003-12-23
6670403,2003-12-30
6671852,2003-12-30
6678258,2004-01-13
6687259,2004-02-03
6689194,2004-02-10
6690655,2004-02-10
6691028,2004-02-10
6691071,2004-02-10
6694060,2004-02-17
6694149,2004-02-17
6696195,2004-02-24
6697016,2004-02-24
6697637,2004-02-24
6700867,2004-03-02
6704572,2004-03-09
6708023,2004-03-16
6710518,2004-03-23
6710578,2004-03-23
6720864,2004-04-13
6721267,2004-04-13
6721562,2004-04-13
6724170,2004-04-20
